+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                              ;
+----------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                          ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; stage1and2|stage1|comparator_array4|max_selector|stage1[6].m_inst                                  ; 14    ; 8              ; 0            ; 8              ; 7      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|max_selector|stage1[5].m_inst|comp                             ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|max_selector|stage1[5].m_inst                                  ; 14    ; 8              ; 0            ; 8              ; 7      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|max_selector|stage1[4].m_inst|comp                             ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|max_selector|stage1[4].m_inst                                  ; 14    ; 8              ; 0            ; 8              ; 7      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|max_selector|stage1[3].m_inst|comp                             ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|max_selector|stage1[3].m_inst                                  ; 14    ; 8              ; 0            ; 8              ; 7      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|max_selector|stage1[2].m_inst|comp                             ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|max_selector|stage1[2].m_inst                                  ; 14    ; 8              ; 0            ; 8              ; 7      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|max_selector|stage1[1].m_inst|comp                             ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|max_selector|stage1[1].m_inst                                  ; 14    ; 8              ; 0            ; 8              ; 7      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|max_selector|stage1[0].m_inst|comp                             ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|max_selector|stage1[0].m_inst                                  ; 14    ; 8              ; 0            ; 8              ; 7      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|max_selector                                                   ; 48    ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[15].comparator_inst|word_decoder_inst              ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[15].comparator_inst|gen_compare[3].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[15].comparator_inst|gen_compare[2].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[15].comparator_inst|gen_compare[1].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[15].comparator_inst|gen_compare[0].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[15].comparator_inst                                ; 64    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[14].comparator_inst|word_decoder_inst              ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[14].comparator_inst|gen_compare[3].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[14].comparator_inst|gen_compare[2].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[14].comparator_inst|gen_compare[1].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[14].comparator_inst|gen_compare[0].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[14].comparator_inst                                ; 64    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[13].comparator_inst|word_decoder_inst              ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[13].comparator_inst|gen_compare[3].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[13].comparator_inst|gen_compare[2].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[13].comparator_inst|gen_compare[1].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[13].comparator_inst|gen_compare[0].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[13].comparator_inst                                ; 64    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[12].comparator_inst|word_decoder_inst              ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[12].comparator_inst|gen_compare[3].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[12].comparator_inst|gen_compare[2].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[12].comparator_inst|gen_compare[1].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[12].comparator_inst|gen_compare[0].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[12].comparator_inst                                ; 64    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[11].comparator_inst|word_decoder_inst              ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[11].comparator_inst|gen_compare[3].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[11].comparator_inst|gen_compare[2].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[11].comparator_inst|gen_compare[1].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[11].comparator_inst|gen_compare[0].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[11].comparator_inst                                ; 64    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[10].comparator_inst|word_decoder_inst              ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[10].comparator_inst|gen_compare[3].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[10].comparator_inst|gen_compare[2].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[10].comparator_inst|gen_compare[1].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[10].comparator_inst|gen_compare[0].comparator_inst ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[10].comparator_inst                                ; 64    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[9].comparator_inst|word_decoder_inst               ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[9].comparator_inst|gen_compare[3].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[9].comparator_inst|gen_compare[2].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[9].comparator_inst|gen_compare[1].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[9].comparator_inst|gen_compare[0].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[9].comparator_inst                                 ; 64    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[8].comparator_inst|word_decoder_inst               ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[8].comparator_inst|gen_compare[3].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[8].comparator_inst|gen_compare[2].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[8].comparator_inst|gen_compare[1].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[8].comparator_inst|gen_compare[0].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[8].comparator_inst                                 ; 64    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[7].comparator_inst|word_decoder_inst               ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[7].comparator_inst|gen_compare[3].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[7].comparator_inst|gen_compare[2].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[7].comparator_inst|gen_compare[1].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[7].comparator_inst|gen_compare[0].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[7].comparator_inst                                 ; 64    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[6].comparator_inst|word_decoder_inst               ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[6].comparator_inst|gen_compare[3].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[6].comparator_inst|gen_compare[2].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[6].comparator_inst|gen_compare[1].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[6].comparator_inst|gen_compare[0].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[6].comparator_inst                                 ; 64    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[5].comparator_inst|word_decoder_inst               ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[5].comparator_inst|gen_compare[3].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[5].comparator_inst|gen_compare[2].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[5].comparator_inst|gen_compare[1].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[5].comparator_inst|gen_compare[0].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[5].comparator_inst                                 ; 64    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[4].comparator_inst|word_decoder_inst               ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; stage1and2|stage1|comparator_array4|gen_compare[4].comparator_inst|gen_compare[3].comparator_inst  ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
